"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"7955.02-28_10_11_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.16182572614108	0.83817427	0
"7955.02-29_10_11_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.02-3_10_3_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-30_10_12_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-31_10_12_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.39194139194139	0.60805861	0
"7955.02-32_10_12_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.34710743801653	0.65289256	0	0
"7955.02-33_10_13_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.02-35_10_13_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.02-36_10_13_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.02-37_10_16_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-39_10_16_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-4_10_3_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.02-41_10_16_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.02-43_10_16_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.16353887399464	0.83646113	0	0
"7955.02-44_10_16_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0.22222222222222	0.77777778	0	0	0
"7955.02-45_10_16_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0.90540540540541	0.09459459	0	0	0
"7955.02-46_10_16_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.02-48_10_17_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.02-49_10_17_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-5_10_3_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-51_10_17_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-52_10_17_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0.40136054421769	0.40136054421769	0.19727891	0	0
"7955.02-54_10_17_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-56_10_18_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.47465437788018	0.52534562	0
"7955.02-58_10_18_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-59_10_18_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0.934782608695651	0.06521739	0	0	0
"7955.02-6_10_4_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.02-61_10_18_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.02-62_10_18_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0.3780487804878	0.62195122	0	0	0
"7955.02-63_10_19_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-64_10_19_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.02-67_10_19_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"7955.02-68_10_23_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"7955.02-69_10_23_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.59281437125749	0.40718563	0	0
"7955.02-7_10_4_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.02-70_11_2_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.02-71_11_2_2017_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
