"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"11854_1_07-B-024 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.25	0.75
"11854_1_07-B-024_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"11865_1_07-B-030 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11865_1_07-B-030 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11865_1_07-B-030_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11866_1_07-B-031 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11866_1_07-B-031 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.93798449612403	0.0620155	0
"11866_1_07-B-031_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.23152709359606	0.76847291	0
"11868_1_07-B-025 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.25	0.75
"11868_1_07-B-025 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11868_1_07-B-025_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11869_1_07-B-026 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11869_1_07-B-026_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11870_1_07-B-027 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11870_1_07-B-027 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11870_1_07-B-027_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11871_1_07-B-028 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11871_1_07-B-028 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11871_1_07-B-028_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11872_1_07-B-029 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11872_1_07-B-029 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11872_1_07-B-029_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11876_1_07-B-039 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11876_1_07-B-039_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"11877_1_07-B-036 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11877_1_07-B-036 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11877_1_07-B-036_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11879_1_07-B-037 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11879_1_07-B-037_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0.75	0.25	0	0
"11880_1_07-B-035 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11880_1_07-B-035_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11881_1_07-B-038 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11881_1_07-B-038_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"11882_1_07-B-033 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"11882_1_07-B-033_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11883_1_07-B-034 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11883_1_07-B-034 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11883_1_07-B-034_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0.44	0.56	0	0
"11884_1_07-B-032 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"11884_1_07-B-032 Third_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0.5	0.5	0	0
"11884_1_07-B-032_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"11885_1_07-B-040 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11885_1_07-B-040_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"11886_1_07-B-041 RANQ_NQ Kick"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.5	0.5
"11886_1_07-B-041_NQ Kick"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"11887_1_07-B-042 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11887_1_07-B-042_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"11889_1_07-B-043 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"11889_1_07-B-043_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"11906_1_07-B-044 whole_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11907_1_07-B-045 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11907_1_07-B-045_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.642857142857141	0.35714286	0	0	0
"11951_1_07-B-046 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.5	0.5
"11951_1_07-B-046 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.49484536082474	0.50515464	0
"11951_1_07-B-046_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11952_1_07-B-047 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11952_1_07-B-047_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.90540540540541	0.09459459	0	0	0
"11953_1_07-B-048 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"11953_1_07-B-048_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"11956_1_07-B-050 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11956_1_07-B-050_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"11958_1_07-B-052 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11958_1_07-B-052 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11958_1_07-B-052_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0.50785340314136	0.4921466	0	0
