"SampleID"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Memb.Total"	"Memb.QC"	"Lev.1.Memb"	"Lev.1.Name"	"Lev.2.Memb"	"Lev.2.Name"	"Lev.Memb.Diff"	"Lev.Memb.close"	"Lev.Prop.Num"	"Lev.Prop.Nar"
"12053_1_07-B-082 Third_Kick Net 2M2"	0	0	0	0.50442477876106	0.49557522	0	1	"PASS"	0.50442477876106	4	0.49557522	5	0.00884955876105986	"tie"	4.49557521504424	"4/5 tie"
"12053_1_07-B-082_Kick Net 2M2"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12054_1_07-B-083 RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"12054_1_07-B-083 Second_Kick Net 2M2"	0	0	0	0.88340807174888	0.11659193	0	1	"PASS"	0.88340807174888	4	0.11659193	5	0.76681614174888	NA	4.11659193699552	"4-"
"12054_1_07-B-083_Kick Net 2M2"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12055_1_07-B-084 RANQ_Kick Net 2M2"	0	0	0	0	0.75	0.25	1	"PASS"	0.75	5	0.25	6	0.5	NA	5.25	"5-"
"12055_1_07-B-084 Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12055_1_07-B-084_Kick Net 2M2"	0	0	0	0.86170212765957	0.13829787	0	1	"PASS"	0.86170212765957	4	0.13829787	5	0.72340425765957	NA	4.13829786063828	"4-"
"12057_1_07-B-086 RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"12057_1_07-B-086 Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12057_1_07-B-086_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12058_1_07-B-087 RANQ_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
