"SampleID"	"INDEX_NAME"	"INDEX_CLASS"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Membership_Total"	"Membership_Total_QC"	"Primary_BCG_Level"	"Primary_Membership"	"Secondary_BCG_Level"	"Secondary_Membership"	"Membership_Diff"	"Membership_Close"	"Continuous_BCG_Level"	"BCG_Status"	"BCG_Status2"
"22-B-022_2022-10-13_1_Second"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0	1	"PASS"	5	1	NA	0	1	NA	5	"5"	"5"
"22-B-022_2022-10-13_2_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.515151515151515	0.48484848	0	1	"PASS"	4	0.515151515151515	5	0.48484848	0.0303030351515151	"tie"	4.48484846060606	"4.5"	"4/5 tie"
"22-B-023_2022-10-13_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0	1	"PASS"	5	1	NA	0	1	NA	5	"5"	"5"
"22-B-024_2022-10-13_2_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0	1	"PASS"	5	1	NA	0	1	NA	5	"5"	"5"
"22-B-025_2022-10-13_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0	1	"PASS"	2	1	NA	0	1	NA	2	"2"	"2"
"22-B-026_2022-10-13_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-027_2022-10-13_1_First"	"BCG_CT_2015"	"bug01"	0	0.17741935483871	0.82258065	0	0	0	1	"PASS"	3	0.82258065	2	0.17741935483871	0.64516129516129	NA	2.82258065967742	"3"	"3+"
"22-B-028_2022-10-14_1_First"	"BCG_CT_2015"	"bug01"	0	0.0238095238095237	0.97619048	0	0	0	1	"PASS"	3	0.97619048	2	0.0238095238095237	0.952380956190476	NA	2.97619048761905	"3"	"3"
"22-B-028_2022-10-14_1_Second"	"BCG_CT_2015"	"bug01"	0	0.134146341463415	0.86585366	0	0	0	1	"PASS"	3	0.86585366	2	0.134146341463415	0.731707318536585	NA	2.86585366292683	"3"	"3+"
"22-B-029_2022-10-14_2_First"	"BCG_CT_2015"	"bug01"	0	0.0833333333333339	0.91666667	0	0	0	1	"PASS"	3	0.91666667	2	0.0833333333333339	0.833333336666666	NA	2.91666667666667	"3"	"3"
"22-B-030_2022-10-14_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0	1	"PASS"	2	1	NA	0	1	NA	2	"2"	"2"
"22-B-031_2022-10-14_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-032_2022-10-14_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.113207547169811	0.88679245	0	0	1	"PASS"	4	0.88679245	3	0.113207547169811	0.773584902830189	NA	3.88679244150943	"4"	"4+"
"22-B-033_2022-10-14_1_First"	"BCG_CT_2015"	"bug01"	0	0.616279069767442	0.38372093	0	0	0	1	"PASS"	2	0.616279069767442	3	0.38372093	0.232558139767442	NA	2.38372092953488	"2"	"2-"
"22-B-034_2022-10-17_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-035_2022-10-17_2_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-036_2022-10-17_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-037_2022-10-17_1_First"	"BCG_CT_2015"	"bug01"	0	0.0714285714285712	0.92857143	0	0	0	1	"PASS"	3	0.92857143	2	0.0714285714285712	0.857142858571429	NA	2.92857143285714	"3"	"3"
"22-B-037_2022-10-17_1_Second"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0	1	"PASS"	2	0.5	3	0.5	0	"tie"	2.5	"2.5"	"2/3 tie"
"22-B-038_2022-10-17_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0	1	"PASS"	2	1	NA	0	1	NA	2	"2"	"2"
"22-B-039_2022-10-18_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0	1	"PASS"	2	1	NA	0	1	NA	2	"2"	"2"
"22-B-040_2022-10-18_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-041_2022-10-18_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-042_2022-10-19_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-043_2022-10-19_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.101694915254237	0.89830508	0	1	"PASS"	5	0.89830508	4	0.101694915254237	0.796610164745763	NA	4.89830506101695	"5"	"5"
"22-B-044_2022-10-19_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0	1	"PASS"	5	1	NA	0	1	NA	5	"5"	"5"
"22-B-045_2022-10-19_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.625	0.375	0	0	1	"PASS"	3	0.625	4	0.375	0.25	NA	3.375	"3"	"3-"
"22-B-046_2022-10-19_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-047_2022-10-21_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
